ID	Poskey	Day	Month	Year	Hours	Minutes	Latitude	Longitude	Area_surveyedkm2	Seastate	Gannets_in_transect	X	Y
1	20015185	2	7	1991	4	5	54.17	1.58	0.45	3	0	407302.2805	6003367.606
2	20015186	2	7	1991	4	15	54.17	1.53	0.56	3	0	404038.4974	6003434.356
3	20015187	2	7	1991	4	25	54.17	1.48	0.45	3	0	400774.7373	6003503.416
4	20015188	2	7	1991	4	35	54.17	1.44	0.36	3	0	398163.7462	6003560.328
5	20015189	2	7	1991	4	45	54.17	1.39	0.45	3	0	394900.0294	6003633.546
6	20015190	2	7	1991	4	55	54.17	1.34	0.5	3	0	391636.3377	6003709.075
7	20015191	2	7	1991	5	5	54.17	1.3	0.42	3	0	389025.403	6003771.162
8	20015192	2	7	1991	5	15	54.17	1.26	0.45	3	0	386414.4853	6003834.727
9	20015193	2	7	1991	5	25	54.17	1.21	0.42	3	0	383150.8627	6003916.263
10	20015194	2	7	1991	6	25	54.16	0.95	0.41	3	0	366148.2128	6003265.089
11	20015195	2	7	1991	6	35	54.16	0.9	0.41	3	0	362883.9886	6003360.963
12	20015196	2	7	1991	6	45	54.16	0.86	0.41	3	0	360272.6328	6003439.327
13	20015197	2	7	1991	6	55	54.16	0.82	0.41	3	0	357661.2984	6003519.169
14	20015198	2	7	1991	7	5	54.16	0.79	0.17	3	0	355702.8119	6003580.022
15	20015199	2	7	1991	7	15	54.16	0.77	0.17	3	0	354397.1611	6003621.053
16	20015200	2	7	1991	7	25	54.16	0.76	0.17	3	0	353744.3378	6003641.707
17	20015201	2	7	1991	7	35	54.17	0.72	0.54	3	0	351168.9633	6004837.608
18	20015202	2	7	1991	7	45	54.16	0.66	0.55	3	1	347216.1828	6003853.335
19	20015203	2	7	1991	7	55	54.16	0.61	0.56	2	0	343952.1599	6003962.616
20	20015204	2	7	1991	8	5	54.16	0.55	0.51	1	2	340035.3817	6004096.805
21	20015205	2	7	1991	8	15	54.16	0.5	0.53	1	0	336771.4419	6004211.172
22	20015206	2	7	1991	8	25	54.16	0.45	0.53	1	0	333507.5413	6004327.851
23	20015207	2	7	1991	9	40	54.15	0.55	0.5	1	0	339996.8032	6002984.49
24	20015208	2	7	1991	9	50	54.15	0.5	0.5	1	0	336732.0756	6003098.871
25	20015209	2	7	1991	10	0	54.16	0.45	0.5	1	0	333507.5413	6004327.851
26	20015210	2	7	1991	10	10	54.16	0.4	0.49	1	0	330243.6805	6004446.843
27	20015211	2	7	1991	10	20	54.16	0.35	0.5	1	0	326979.8604	6004568.146
28	20015212	2	7	1991	10	30	54.16	0.29	0.5	1	0	323063.3311	6004716.763
29	20015213	2	7	1991	10	40	54.17	0.25	0.46	1	0	320495.657	6005929.924
30	20015214	2	7	1991	10	50	54.17	0.2	0.47	1	0	317232.7518	6006058.15
31	20015215	2	7	1991	11	0	54.17	0.15	0.62	1	0	313969.8904	6006188.688
32	20015216	2	7	1991	11	10	54.17	0.1	0.47	1	0	310707.0737	6006321.539
33	20015217	2	7	1991	11	20	54.17	0.08	0.3	2	0	309401.9597	6006375.327
34	20015218	2	7	1991	11	30	54.17	0.08	0.2	2	1	309401.9597	6006375.327
35	20015219	2	7	1991	11	35	54.18	0.07	0.73	2	0	308795.5604	6007514.539
36	20015220	2	7	1991	11	45	54.2	0.07	0.65	2	0	308887.8878	6009738.902
37	20015221	2	7	1991	11	54	54.21	0.1	1.33	2	0	310889.8362	6010770.303
38	20015222	2	7	1991	12	4	54.2	0.17	1.55	2	0	315408.7815	6009472.83
39	20015223	2	7	1991	14	12	54.21	0.19	1.04	2	0	316757.2616	6010532.946
40	20015224	2	7	1991	14	22	54.22	0.14	0.52	2	0	313542.637	6011776.093
41	20015225	2	7	1991	14	32	54.23	0.09	0.69	2	0	310329.6407	6013021.522
42	20015226	2	7	1991	14	42	54.24	0.06	0.21	2	1	308421.1648	6014214.748
43	20015227	2	7	1991	14	45	54.23	0.01	0.94	3	0	305116.8143	6013239.482
44	20015228	2	7	1991	16	55	54.28	0.11	1.56	3	1	311860.7184	6018528.972
45	20015229	2	7	1991	17	7	54.31	0.16	1	3	0	315249.2797	6021733.425
46	20015230	2	7	1991	17	17	54.33	0.19	1.01	3	0	317289.0585	6023879.703
47	20015231	2	7	1991	17	27	54.36	0.23	1	3	0	320020.4527	6027113.517
48	20015232	2	7	1991	17	37	54.38	0.27	1	3	0	322705.0161	6029236.623
49	20015233	2	7	1991	17	47	54.4	0.31	1.31	3	0	325387.1003	6031361.258
50	20015234	2	7	1991	18	0	54.41	0.3	1.27	2	0	324780.7893	6032498.378
51	20015235	2	7	1991	18	10	54.44	0.24	2.79	1	1	321018.8278	6035986.128
52	20015236	2	7	1991	18	20	54.45	0.19	1.12	1	0	317821.6636	6037226.664
53	20015237	3	7	1991	5	40	54.41	0.61	1.23	5	2	344894.5439	6031771.362
54	20015238	3	7	1991	5	50	54.41	0.67	1.22	5	0	348787.7038	6031640.885
55	20015239	3	7	1991	6	0	54.41	0.73	0.94	5	0	352680.9173	6031513.726
56	20015240	3	7	1991	6	9	54.41	0.79	1.33	5	0	356574.1829	6031389.886
57	20015241	3	7	1991	6	20	54.41	0.85	0.97	4	0	360467.4992	6031269.365
58	20015242	3	7	1991	6	30	54.41	0.91	1.2	4	0	364360.8649	6031152.163
59	20015243	3	7	1991	6	40	54.41	0.97	1.3	4	0	368254.2785	6031038.279
60	20015244	3	7	1991	7	5	54.41	1.02	0.93	3	0	371498.8256	6030945.911
61	20015245	3	7	1991	7	15	54.41	1.07	0.94	3	0	374743.4042	6030855.847
62	20015246	3	7	1991	7	25	54.41	1.12	0.93	3	1	377988.0135	6030768.088
63	20015247	3	7	1991	7	35	54.41	1.17	0.94	3	0	381232.6528	6030682.633
64	20015248	3	7	1991	7	45	54.41	1.22	0.92	3	0	384477.3213	6030599.482
65	20015249	3	7	1991	7	55	54.41	1.27	1.11	3	0	387722.0181	6030518.635
66	20015250	3	7	1991	8	5	54.41	1.33	1.16	3	0	391615.6905	6030424.66
67	20015251	3	7	1991	8	15	54.41	1.39	1.12	3	0	395509.4013	6030334.003
68	20015252	3	7	1991	8	25	54.41	1.45	1.18	3	0	399403.149	6030246.663
69	20015253	3	7	1991	8	35	54.41	1.51	1.14	3	0	403296.9323	6030162.641
70	20015254	3	7	1991	8	45	54.41	1.57	1.11	3	0	407190.7497	6030081.936
71	20015255	3	7	1991	8	55	54.41	1.62	1.19	3	0	410435.6227	6030017.217
72	20015256	3	7	1991	9	5	54.41	1.68	1.16	3	0	414329.4991	6029942.594
73	20015257	3	7	1991	9	15	54.41	1.74	1.17	3	0	418223.4059	6029871.288
74	20015258	3	7	1991	9	25	54.41	1.8	1.15	3	0	422117.3415	6029803.299
75	20015259	3	7	1991	9	35	54.42	1.86	1	3	0	426029.3103	6030851.238
76	20015260	3	7	1991	10	8	54.44	1.92	1.16	3	0	429956.4739	6033015.133
77	20015261	3	7	1991	10	18	54.47	1.92	1.16	3	0	430007.6734	6036353.009
78	20015262	3	7	1991	10	28	54.51	1.91	1.16	3	1	429428.5501	6040813.519
79	20015263	3	7	1991	10	38	54.54	1.91	1.16	3	0	429480.2693	6044151.429
80	20015264	3	7	1991	10	48	54.57	1.91	1.16	3	0	429532.0081	6047489.356
81	20015265	3	7	1991	10	58	54.61	1.91	1.16	3	2	429601.0235	6051939.949
82	20015266	3	7	1991	11	8	54.64	1.9	1.16	3	1	429007.4468	6055287.972
83	20015267	3	7	1991	11	18	54.67	1.9	0.23	3	0	429059.7259	6058625.948
84	20015268	3	7	1991	11	20	54.67	1.87	1	2	0	427125.073	6058656.668
85	20015269	3	7	1991	11	30	54.67	1.82	1.08	2	0	423900.6662	6058709.704
86	20015270	3	7	1991	11	40	54.67	1.77	1.03	2	0	420676.2786	6058765.036
87	20015271	3	7	1991	11	50	54.67	1.73	0.28	2	0	418096.7828	6058810.955
88	20015272	3	7	1991	11	53	54.67	1.7	0.93	2	0	416162.1696	6058846.359
89	20015273	3	7	1991	12	3	54.66	1.65	0.89	2	0	412916.441	6057794.576
90	20015274	3	7	1991	12	13	54.66	1.61	0.63	2	0	410336.3522	6057844.911
91	20015275	3	7	1991	12	20	54.66	1.57	1.18	2	0	407756.2778	6057896.715
92	20015276	3	7	1991	12	30	54.66	1.5	1.2	2	0	403241.1837	6057990.909
93	20015277	3	7	1991	12	40	54.67	1.44	1.23	2	0	399395.8593	6059187.822
94	20015278	3	7	1991	12	50	54.67	1.38	1.16	1	0	395526.8039	6059275.44
95	20015279	3	7	1991	13	0	54.67	1.32	1.22	1	0	391657.7864	6059366.366
96	20015280	3	7	1991	13	10	54.67	1.25	1.18	1	0	387143.9825	6059476.625
97	20015281	3	7	1991	13	20	54.67	1.19	1.21	1	0	383275.0519	6059574.717
98	20015282	3	7	1991	13	30	54.67	1.13	1.45	1	0	379406.1638	6059676.116
99	20015283	3	7	1991	13	40	54.67	1.06	1.13	1	0	374892.5163	6059798.595
100	20015284	3	7	1991	13	50	54.67	1	1.24	1	0	371023.7248	6059907.161
101	20015285	3	7	1991	14	0	54.67	0.94	1.21	1	0	367154.98	6060019.034
102	20015286	3	7	1991	14	10	54.67	0.87	1.16	1	0	362641.5056	6060153.735
103	20015287	3	7	1991	14	20	54.67	0.81	1.22	1	0	358772.8671	6060272.776
104	20015288	3	7	1991	14	30	54.67	0.75	1.07	1	0	354904.28	6060395.126
105	20015289	3	7	1991	14	40	54.67	0.69	1.28	1	0	351035.7456	6060520.784
106	20015290	3	7	1991	14	50	54.67	0.62	1.07	1	0	346522.5239	6060671.567
107	20015291	3	7	1991	15	0	54.67	0.56	1.32	1	0	342654.1085	6060804.394
108	20015292	3	7	1991	15	10	54.67	0.5	1.07	1	0	338785.7502	6060940.53
109	20015293	3	7	1991	15	20	54.67	0.44	1.25	1	0	334917.4506	6061079.975
110	20015294	3	7	1991	15	30	54.67	0.37	1.16	1	1	330404.5103	6061246.844
111	20015295	3	7	1991	15	40	54.67	0.31	1.16	1	0	326536.3424	6061393.459
112	20015296	3	7	1991	15	50	54.67	0.25	1.16	1	0	322668.2377	6061543.384
113	20015297	4	7	1991	6	30	54.67	-0.69	1.54	1	2	262077.2554	6064324.433
114	20015298	4	7	1991	7	5	54.67	-0.68	1.09	1	1	262721.7379	6064290.57
115	20015299	4	7	1991	7	10	54.67	-0.72	0.54	1	0	260143.8222	6064426.575
116	20015300	4	7	1991	7	20	54.67	-0.76	1.09	1	0	257565.9454	6064564.053
117	20015301	4	7	1991	7	30	54.67	-0.82	1.1	1	0	253699.204	6064773.03
118	20015302	4	7	1991	7	40	54.67	-0.88	1.12	1	0	249832.5525	6064985.321
119	20015303	4	7	1991	7	50	54.67	-0.93	1.07	1	1	246610.4125	6065164.761
120	20015304	4	7	1991	8	0	54.69	-0.98	1.11	2	0	243514.5747	6067570.182
121	20015305	4	7	1991	8	10	54.72	-0.99	1.11	2	0	243060.3774	6070942.311
122	20015306	4	7	1991	8	20	54.75	-1.04	1.11	2	1	240034.6996	6074462.154
123	20015307	4	7	1991	8	30	54.78	-1.07	1.11	2	0	238299.1975	6077909.27
124	20015308	4	7	1991	8	40	54.81	-1.1	1.56	2	1	236566.6547	6081357.139
125	20015309	4	7	1991	10	53	54.83	-1.14	1.24	1	2	234129.6218	6083731.903
126	20015310	4	7	1991	11	3	54.86	-1.15	1.23	1	0	233685.6648	6087105.254
127	20015311	4	7	1991	11	13	54.9	-1.17	1.24	1	0	232668.1935	6091628.624
128	20015312	4	7	1991	11	23	54.92	-1.16	0.74	1	0	233441.2275	6093814.006
129	20015313	4	7	1991	11	33	54.92	-1.12	0.67	1	0	236002.7819	6093662.274
130	20015314	4	7	1991	11	43	54.92	-1.08	0.77	1	1	238564.3802	6093512.01
131	20015315	4	7	1991	12	15	54.92	-1.03	1.27	1	0	241766.4391	6093326.244
132	20015316	4	7	1991	12	42	54.92	-0.91	1.11	1	1	249451.6528	6092889.768
133	20015317	4	7	1991	12	52	54.92	-0.85	1.08	2	0	253294.4009	6092676.485
134	20015318	4	7	1991	13	2	54.92	-0.79	1.45	3	2	257137.2413	6092466.505
135	20015319	4	7	1991	13	12	54.92	-0.74	0.99	3	3	260339.6778	6092294.045
136	20015320	4	7	1991	13	22	54.92	-0.68	1.16	3	0	264182.6835	6092090.12
137	20015321	4	7	1991	13	32	54.92	-0.62	1.16	3	0	268025.7774	6091889.497
138	20015322	4	7	1991	13	42	54.92	-0.56	1.08	3	0	271868.958	6091692.177
139	20015323	4	7	1991	13	52	54.92	-0.51	0.93	3	4	275071.6736	6091530.265
140	20015324	4	7	1991	14	2	54.92	-0.45	1.11	3	0	278915.0094	6091338.998
141	20015325	4	7	1991	14	12	54.92	-0.39	1.11	3	1	282758.4276	6091151.033
142	20015326	4	7	1991	14	22	54.92	-0.34	1.08	3	1	285961.3382	6090996.917
143	20015327	4	7	1991	14	32	54.92	-0.28	1.06	3	0	289804.9041	6090815.004
144	20015328	4	7	1991	14	42	54.92	-0.22	1.22	3	0	293648.5485	6090636.392
145	20015329	4	7	1991	14	52	54.92	-0.17	1.15	3	1	296851.6443	6090490.071
146	20015330	4	7	1991	15	2	54.92	-0.11	0.92	3	0	300695.4287	6090317.51
147	20015331	4	7	1991	15	12	54.92	-0.06	1.22	3	0	303898.6393	6090176.231
148	20015332	4	7	1991	15	22	54.92	-0.01	0.54	3	0	307101.9006	6090037.244
149	20015333	4	7	1991	16	15	54.92	0.07	1.1	3	0	312227.2223	6089819.631
150	20015334	4	7	1991	16	25	54.92	0.13	1.03	3	0	316071.2955	6089660.271
151	20015335	4	7	1991	16	35	54.92	0.19	1.13	3	0	319915.4372	6089504.211
152	20015336	4	7	1991	16	45	54.92	0.25	1.1	3	0	323759.646	6089351.451
153	20015337	4	7	1991	16	55	54.92	0.31	1.15	3	0	327603.9206	6089201.99
154	20015338	4	7	1991	17	5	54.92	0.36	1.06	3	0	330807.5318	6089079.96
155	20015339	4	7	1991	17	15	54.92	0.42	1.1	3	0	334651.9231	6088936.548
156	20015340	4	7	1991	17	25	54.92	0.48	1.11	3	0	338496.3759	6088796.435
157	20015341	4	7	1991	17	35	54.92	0.54	1.16	3	0	342340.8888	6088659.621
158	20015342	4	7	1991	17	45	54.92	0.6	1.05	3	0	346185.4605	6088526.105
159	20015343	4	7	1991	17	55	54.92	0.65	1.13	3	0	349389.3141	6088417.362
160	20015344	4	7	1991	18	5	54.92	0.71	1.15	3	0	353233.9897	6088289.893
161	20015345	4	7	1991	18	15	54.92	0.77	1.11	3	0	357078.7199	6088165.723
162	20015346	4	7	1991	18	25	54.92	0.83	1.03	3	0	360923.5034	6088044.851
163	20015347	5	7	1991	6	7	54.92	1.89	1.1	4	0	428855.2314	6086453.155
164	20015348	5	7	1991	6	17	54.92	1.96	1.52	4	0	433341.6659	6086384.261
165	20015350	5	7	1991	7	0	54.96	1.99	1.14	4	0	435328.6637	6090806.99
166	20015357	5	7	1991	8	5	55.17	1.97	1.16	4	0	434392.5057	6114193.202
167	20015358	5	7	1991	8	15	55.16	1.91	1.13	4	0	430553.4878	6113138.494
168	20015359	5	7	1991	8	25	55.16	1.85	1.15	4	0	426730.9173	6113199.83
169	20015360	5	7	1991	8	35	55.16	1.79	1.14	4	0	422908.3747	6113264.453
170	20015361	5	7	1991	8	45	55.16	1.73	1.13	4	0	419085.8614	6113332.362
171	20015362	5	7	1991	8	55	55.16	1.67	1.15	4	8	415263.3789	6113403.557
172	20015363	5	7	1991	9	5	55.16	1.61	1.15	4	1	411440.9286	6113478.039
173	20015364	5	7	1991	9	15	55.16	1.55	1.13	4	0	407618.5119	6113555.808
174	20015365	5	7	1991	9	25	55.16	1.49	1.14	4	0	403796.1305	6113636.863
175	20015366	5	7	1991	9	35	55.15	1.43	1.17	4	0	399948.7569	6112608.531
176	20015367	5	7	1991	9	45	55.15	1.37	1.12	4	0	396125.4933	6112696.171
177	20015368	5	7	1991	9	55	55.15	1.31	1.13	4	0	392302.2692	6112787.099
178	20015369	5	7	1991	10	5	55.15	1.25	1.13	4	0	388479.0861	6112881.314
179	20015370	5	7	1991	10	15	55.15	1.19	1.15	4	1	384655.9453	6112978.816
180	20015371	5	7	1991	10	25	55.16	1.13	1.15	4	0	380862.6612	6114192.22
181	20015372	5	7	1991	10	35	55.16	1.07	1.15	4	0	377040.5666	6114296.284
182	20015373	5	7	1991	10	45	55.16	1.01	1.14	4	0	373218.5187	6114403.637
183	20015374	5	7	1991	10	55	55.17	0.95	1.15	4	0	369429.2067	6115626.849
184	20015375	5	7	1991	11	33	55.17	0.93	0.43	4	0	368155.5369	6115664.455
185	20015376	5	7	1991	11	43	55.17	0.96	0.44	4	0	370066.0437	6115608.184
186	20015377	5	7	1991	11	53	55.17	0.98	0.44	4	0	371339.7218	6115571.126
187	20015380	5	7	1991	12	25	55.17	1.01	1.13	4	0	373250.2492	6115516.224
188	20015381	5	7	1991	12	35	55.17	0.95	1.11	4	0	369429.2067	6115626.849
189	20015382	5	7	1991	12	45	55.17	0.89	1.13	4	1	365608.214	6115740.762
190	20015383	5	7	1991	12	55	55.17	0.83	1.11	4	3	361787.2725	6115857.962
191	20015384	5	7	1991	13	5	55.17	0.77	1.13	4	0	357966.3836	6115978.45
192	20015385	5	7	1991	13	15	55.17	0.71	1.16	4	0	354145.549	6116102.225
193	20015386	5	7	1991	13	25	55.17	0.65	1.13	4	0	350324.7699	6116229.288
194	20015387	5	7	1991	13	35	55.17	0.6	1.06	4	0	347140.8309	6116337.686
195	20015388	5	7	1991	13	45	55.17	0.54	1.13	4	1	343320.1576	6116470.777
196	20015389	5	7	1991	13	55	55.17	0.48	1.44	4	0	339499.544	6116607.156
197	20015390	5	7	1991	14	5	55.17	0.42	1.18	4	0	335678.9917	6116746.823
198	20015391	5	7	1991	14	15	55.17	0.35	1.37	4	0	331221.7601	6116913.925
199	20015392	5	7	1991	16	4	55.17	0.47	1.49	4	1	338862.781	6116630.205
200	20015393	5	7	1991	16	14	55.17	0.39	1.49	4	0	333768.739	6116817.89
201	20015394	5	7	1991	16	24	55.17	0.31	1.42	4	0	328674.8097	6117011.421
202	20015395	5	7	1991	16	34	55.17	0.24	1.49	4	0	324217.7169	6117185.557
203	20015396	5	7	1991	16	44	55.17	0.16	1.53	4	1	319124.0084	6117390.051
204	20015397	5	7	1991	16	54	55.17	0.08	1.49	4	0	314030.4227	6117600.392
205	20015398	5	7	1991	17	4	55.17	0	1.4	4	0	308936.9632	6117816.581
206	20015399	5	7	1991	17	14	55.17	-0.07	1.51	4	0	304480.2925	6118010.543
207	20015400	5	7	1991	17	24	55.17	-0.15	1.42	4	1	299387.0792	6118237.698
208	20015401	5	7	1991	17	34	55.17	-0.23	1.57	4	0	294294.0022	6118470.701
209	20015402	5	7	1991	17	44	55.17	-0.31	1.44	4	1	289201.0649	6118709.554
210	20015403	5	7	1991	17	54	55.17	-0.38	1.49	4	0	284744.8622	6118923.349
211	20015404	5	7	1991	18	4	55.17	-0.42	0.16	4	1	282198.5107	6119047.528
212	20015405	5	7	1991	18	14	55.17	-0.41	0.16	4	0	282835.0951	6119016.346
213	20015406	5	7	1991	18	24	55.17	-0.4	0.16	4	0	283471.6818	6118985.256
214	20015407	5	7	1991	18	34	55.17	-0.39	0.16	4	1	284108.2709	6118954.256
215	20015408	5	7	1991	19	39	55.17	-0.37	1.19	4	5	285381.4557	6118892.532
216	20015409	5	7	1991	19	49	55.17	-0.44	1.17	4	0	280925.3489	6119110.166
217	20015410	5	7	1991	19	59	55.17	-0.5	1.19	4	0	277105.9194	6119300.275
218	20015411	6	7	1991	3	45	55.17	-0.9	1.11	4	1	251645.3066	6120651.783
219	20015412	6	7	1991	3	55	55.17	-0.96	1.06	4	0	247826.5686	6120867.129
220	20015413	6	7	1991	4	5	55.17	-1.03	1.08	4	0	243371.4964	6121122.528
221	20015414	6	7	1991	4	15	55.17	-1.08	1.08	4	1	240189.3839	6121307.7
222	20015415	6	7	1991	4	25	55.17	-1.14	1.13	4	1	236370.9401	6121532.925
223	20015416	6	7	1991	4	35	55.17	-1.2	1.1	4	0	232552.5975	6121761.444
224	20015417	6	7	1991	4	45	55.17	-1.26	1.11	4	0	228734.3574	6121993.256
225	20015418	6	7	1991	4	55	55.17	-1.3	0.62	4	0	226188.9217	6122149.628
226	20015419	6	7	1991	5	10	55.21	-1.34	0.95	4	0	223920.6233	6126754.307
227	20015420	6	7	1991	5	20	55.24	-1.35	1.36	4	1	223493.3097	6130129.1
228	20015421	6	7	1991	5	30	55.24	-1.35	1.3	4	0	223493.3097	6130129.1
229	20015422	6	7	1991	5	40	55.2	-1.36	1.3	4	0	222579.6205	6125722.031
230	20015423	6	7	1991	5	50	55.19	-1.36	0.77	4	1	222510.0238	6124610.33
231	20015424	6	7	1991	6	0	55.22	-1.37	0.78	4	1	222083.305	6127985.28
232	20015425	6	7	1991	6	10	55.24	-1.38	0.77	4	1	221587.6665	6130248.603
233	20015426	6	7	1991	6	20	55.26	-1.36	1.38	4	0	222997.3791	6132392.253
234	20015427	6	7	1991	6	30	55.29	-1.3	1.38	4	0	227012.9201	6135490.444
235	20015428	6	7	1991	6	40	55.31	-1.24	1.38	4	0	230955.1021	6137480.344
236	20015429	6	7	1991	6	50	55.34	-1.18	1.37	4	0	234960.4111	6140585.462
237	20015430	6	7	1991	7	0	55.36	-1.13	1.37	4	0	238260.8721	6142619.799
238	20015431	6	7	1991	7	10	55.39	-1.07	1.37	4	0	242256.3992	6145731.269
239	20015432	6	7	1991	7	20	55.41	-1.02	0.82	4	0	245549.5647	6147770.865
240	20015433	6	7	1991	8	17	55.41	-0.87	1.28	4	1	255038.7405	6147232.142
241	20015434	6	7	1991	8	27	55.41	-0.8	1.15	4	8	259467.2292	6146987.758
242	20015435	6	7	1991	8	37	55.42	-0.8	1.11	4	0	259528.0361	6148099.753
243	20015436	6	7	1991	8	47	55.42	-0.85	1.07	4	3	256365.6179	6148273.834
244	20015437	6	7	1991	8	57	55.41	-0.91	0.96	4	0	252508.2341	6147373.796
245	20015438	6	7	1991	9	50	55.41	-1	1	4	0	246814.7527	6147697.85
246	20015439	6	7	1991	10	0	55.41	-0.94	1.07	4	0	250610.3824	6147480.993
247	20015440	6	7	1991	10	10	55.41	-0.89	1.07	4	0	253773.4819	6147302.786
248	20015441	6	7	1991	10	20	55.41	-0.83	1.12	4	4	257569.2896	6147091.947
249	20015442	6	7	1991	10	30	55.41	-0.77	1.05	4	1	261365.1923	6146884.389
250	20015443	6	7	1991	10	40	55.41	-0.72	1	4	2	264528.5159	6146713.931
251	20015444	6	7	1991	10	50	55.41	-0.66	1.1	4	2	268324.5886	6146512.39
252	20015445	6	7	1991	11	0	55.41	-0.6	1.1	4	0	272120.752	6146314.129
253	20015446	6	7	1991	11	10	55.41	-0.55	1.07	4	5	275284.2897	6146151.419
254	20015447	6	7	1991	11	20	55.41	-0.49	0.98	4	4	279080.6154	6145959.174
255	20015448	6	7	1991	11	30	55.41	-0.44	1.08	4	0	282244.2863	6145801.475
256	20015449	6	7	1991	11	40	55.41	-0.38	1.1	4	0	286040.7692	6145615.244
257	20015450	6	7	1991	11	50	55.42	-0.32	1.1	4	1	289890.4532	6146544.495
258	20015451	6	7	1991	12	0	55.42	-0.27	1.07	4	1	293053.5208	6146394.562
259	20015452	6	7	1991	12	10	55.42	-0.21	1.15	4	6	296849.276	6146217.649
260	20015453	6	7	1991	12	20	55.42	-0.15	1.13	4	0	300645.1107	6146044.015
261	20015454	6	7	1991	12	30	55.42	-0.09	1.1	4	0	304441.0234	6145873.659
262	20015455	6	7	1991	12	40	55.42	-0.03	1.22	4	0	308237.0125	6145706.583
263	20015456	6	7	1991	13	45	55.42	0.17	1	4	1	320890.8425	6145173.343
264	20015457	6	7	1991	13	55	55.42	0.23	1.41	4	3	324687.1457	6145020.474
265	20015458	6	7	1991	14	5	55.42	0.28	0.96	4	3	327850.7841	6144895.587
266	20015459	6	7	1991	14	15	55.42	0.34	1.09	4	0	331647.2117	6144748.728
267	20015460	6	7	1991	14	25	55.42	0.4	1.12	4	0	335443.7051	6144605.147
268	20015461	6	7	1991	14	35	55.42	0.46	1.14	4	0	339240.2627	6144464.843
269	20015462	6	7	1991	14	45	55.42	0.52	1.09	4	0	343036.8831	6144327.817
270	20015463	6	7	1991	14	55	55.42	0.58	1.14	4	1	346833.5648	6144194.068
271	20015464	6	7	1991	15	5	55.42	0.64	1.25	4	0	350630.3063	6144063.597
272	20015465	6	7	1991	16	3	55.42	0.62	0.83	4	4	349364.7193	6144106.723
273	20015466	6	7	1991	16	13	55.42	0.67	1.09	4	0	352528.699	6143999.59
274	20015467	6	7	1991	16	20	55.42	0.72	1.04	4	1	355692.7187	6143894.733
275	20015468	6	7	1991	16	30	55.42	0.78	1.08	4	0	359489.5939	6143771.908
276	20015469	6	7	1991	16	40	55.42	0.84	1.05	4	0	363286.524	6143652.36
277	20015470	6	7	1991	16	50	55.42	0.89	1.06	4	1	366450.6732	6143555.24
278	20015471	6	7	1991	17	0	55.42	0.95	1.04	4	0	370247.6999	6143441.699
279	20015472	6	7	1991	17	10	55.42	0.99	0.54	4	0	372779.0792	6143367.825
