Museum	Findsite	Gender	Population	Latitude	AbsoluteLatitude	CranialCapacity	FMarea_intercondyle	MeanOrbitalVolume	Minimum_Illuminance	Minimum_Temperature_celsius
OUM                 	Gilbert_kingsmillisl          	Male	Micronesia	1.33	1.33	1200	583.2	22.5	109647.82	26.67
OUM                 	SotoanReefMicronesia          	Male	Micronesia	5.42	5.42	1300	637.94	21	104712.85	24.44
OUM                 	SotoanReefMicronesia          	Female	Micronesia	5.42	5.42	1100	635.89	22	104712.85	24.44
Duckworth           	GuancheCanaryIslands          	Unknown	CanaryIslands	28.51	28.51	1300	682.57	20.5	64565.42	14.44
OUM                 	GuancheCanaryIslands          	Male	CanaryIslands	28.51	28.51	1420	851.37	25	64565.42	14.44
OUM                 	GuancheCanaryIslands          	Male	CanaryIslands	28.51	28.51	1400	596.4	25.5	64565.42	14.44
OUM                 	GuancheCanaryIslands          	Male	CanaryIslands	28.51	28.51	1620	861.62	27.6	64565.42	14.44
Duckworth           	Uganda                        	Unknown	Uganda	1.36	1.36	1340	736.43	24.5	109647.82	16.67
Duckworth           	TesoUganda                    	Unknown	Uganda	1.36	1.36	1480	890.65	24	109647.82	16.67
Duckworth           	TesoUganda                    	Unknown	Uganda	1.36	1.36	1280	547.81	25.3	109647.82	16.67
Duckworth           	TesoUganda                    	Unknown	Uganda	1.36	1.36	1360	615.75	21.6	109647.82	16.67
OUM                 	Uganda                        	Male	Uganda	1.36	1.36	1240	515.81	24.5	109647.82	16.67
Duckworth           	ErigavoDistrictGallGraveSomali	Male	Somalia	10.62	10.62	1430	538.78	21.3	97723.72	26.67
Duckworth           	ElDerEngavoDistSomalia        	Male	Somalia	10.62	10.62	1300	521.85	27.5	97723.72	26.67
Duckworth           	Ainabo_BuraoSomalia           	Male	Somalia	9.32	9.32	1640	756.52	22	100000	26.67
Duckworth           	EngavoDistSomalia             	Female	Somalia	10.62	10.62	1240	499.34	23.3	97723.72	26.67
Duckworth           	AinaboBuraoDistrictSomalia    	Female	Somalia	9.32	9.32	1280	694.95	22.6	100000	26.67
Duckworth           	Kenya                         	Unknown	Kenya	-0.02	0.02	1380	434.6	25.5	112201.85	7.78
Duckworth           	Kenya                         	Unknown	Kenya	-0.02	0.02	1300	682.29	22.5	112201.85	7.78
Duckworth           	Kenya                         	Unknown	Kenya	-0.02	0.02	1340	562.78	22.5	112201.85	7.78
Duckworth           	Kenya                         	Unknown	Kenya	-0.02	0.02	1280	525.04	19.5	112201.85	7.78
Duckworth           	Kenya                         	Unknown	Kenya	-0.02	0.02	1100	508.54	22.9	112201.85	7.78
OUM                 	China                         	Male	China	37.37	37.37	1435	719.62	22	45708.82	-12.78
OUM                 	China                         	Male	China	37.37	37.37	1340	701.52	23.4	45708.82	-12.78
OUM                 	China                         	Male	China	37.37	37.37	1700	634.58	28	45708.82	-12.78
OUM                 	CalcuttaIndia                 	Male	India	22.57	22.57	1210	614.23	28	77624.71	13.89
OUM                 	IndiaCeylonVeddah             	Male	India	7.75	7.75	1420	540.2	22	102329.3	22.78
OUM                 	CalcuttaIndiaBengale          	Female	India	22.57	22.57	1180	548.6	22.8	77624.71	13.89
OUM                 	Kansas_nebraska               	Male	USA	40	40	1380	614.68	27.4	39810.72	-10
OUM                 	Kansas_nebraska               	Male	USA	40	40	1310	701.47	26.8	39810.72	-10
OUM                 	ComancheWyom         	Male	USA	42.97	42.97	1480	590.12	28.5	35481.34	-14.39
OUM                 	Kansas_nebraska               	Female	USA	40	40	1200	484.9	23.9	39810.72	-10
OUM                 	Finland                       	Male	Scandinavia	65	65	1410	591.2	28.3	1862.09	-13.89
Duckworth           	Sweden                        	Male	Scandinavia	62.54	62.54	1500	536.74	27.5	4168.69	-10.56
OUM                 	UlichtarFinland               	Male	Scandinavia	65	65	1540	745.46	26	1862.09	-13.89
Duckworth           	Scandinavia                   	Female	Scandinavia	63.54	63.54	1610	792.99	26.4	3235.94	-10.56
Duckworth           	Finland                       	Female	Scandinavia	64.96	64.96	1360	545.55	26	2187.76	-13.89
Duckworth           	France                        	Male	France	46.75	46.75	1500	625.99	26.5	28183.83	0
Duckworth           	ZouareFrance                  	Male	France	46.75	46.75	1450	551.54	27.5	28183.83	0
Duckworth           	France                        	Male	France	46.75	46.75	1600	734.32	29.4	28183.83	0
OUM                 	Plestin_UpperBrittanyFrance 	Male	France	48.66	48.66	1620	644.06	27.5	25118.86	1.67
Duckworth           	ParisFrance                   	Female	France	48.82	48.82	1280	655.23	25.6	24547.09	1.11
OUM                 	BrittanyFrance                	Female	France	48.18	48.18	1320	588.26	21.1	25703.96	1.67
OUM                 	EnglandprobOxford          	Unknown	England	51.74	51.74	1300	582.17	23.1	20417.38	1.11
OUM                 	nrMagdColOxford             	Male	England	51.74	51.74	1390	760.33	27.4	20417.38	1.11
OUM                 	England                       	Male	England	52.86	52.86	1500	668.89	29	18197.01	1.11
OUM                 	England                       	Male	England	51.74	51.74	1310	521.5	23.1	20417.38	1.11
OUM                 	EnglandprobOxford          	Male	England	51.74	51.74	1480	736.16	29.8	20417.38	1.11
OUM                 	EnglandprobOxford          	Male	England	51.74	51.74	1580	655.44	28.9	20417.38	1.11
OUM                 	EnglandprobOxford          	Male	England	51.74	51.74	1350	702.26	22.3	20417.38	1.11
Duckworth           	DampierPeninsularAustralia    	Male	Australia	-16.53	16.53	1140	NA	24.6	89125.09	13.33
Duckworth           	AdelaideAustralia             	Male	Australia	-34.94	34.94	1370	596.66	26.1	51286.14	6.67
Duckworth           	Queensland                    	Male	Australia	-13.68	13.68	1290	617.24	26.5	95499.26	18.89
Duckworth           	CoorongNamnyeuAustralia       	Female	Australia	-35.63	35.63	1290	553.18	24	50118.72	5
Duckworth           	Queensland                    	Female	Australia	-13.68	13.68	1320	475.01	23	95499.26	18.89
