Lat	Depth	ML	d15N
62.98	600	210	14.07
64.67	600	131	12.58
64.67	600	166	12.54
64.67	600	128	13.4
64.67	600	175	13.98
64.67	600	110	12.47
64.67	600	140	12.68
64.67	600	134	13.17
64.67	600	187	12.26
64.67	600	81	11.24
64.67	600	134	11.26
64.67	600	105	11.48
64.67	600	52	11.94
64.67	600	75	11.56
65.5	700	192	14.34
65.5	700	169	12.51
65.5	700	187	13.82
65.5	700	110	11.4
65.5	700	122	12.36
65.5	700	172	12.76
65.5	700	146	12.79
65.5	700	116	11.99
70.79	750	216	13.73
70.79	750	116	12.26
70.79	750	105	12.05
70.79	750	93	12.71
70.79	750	125	13.69
70.79	750	70	11.73
70.79	750	87	11.91
70.79	750	64	11.08
70.79	750	70	11.04
70.79	750	64	10.99
70.79	750	58	11.42
70.79	750	64	10.96
70.79	750	58	11.58
70.79	750	64	10.8
70.79	750	64	10.59
69.33	800	134	13.06
69.33	800	140	13.14
69.33	800	146	13.42
69.33	800	99	12.11
69.33	800	175	13.09
69.33	800	140	13.11
69.33	800	140	12.06
69.33	800	93	12.17
69.33	800	122	12.39
69.33	800	251	14.11
69.33	800	93	12.44
69.33	800	93	11.49
69.33	800	99	12.34
69.33	800	99	12.42
69.33	800	93	12.2
69.33	800	75	12.61
69.33	800	87	11.91
67.5	1100	86	11.33
67.5	1100	95	12.25
67.5	1100	165	13.75
67.5	1100	251	14.43
69	1200	263	13.14
69	1200	233	12.52
69	1200	195	12.47
69	1200	169	12.24
69	1200	140	12.82
69	1200	233	13.73
69	1200	140	11.98
69	1200	151	12.46
69	1200	99	12.27
69	1200	105	11.71
69	1200	140	12.99
69	1200	116	12.79
69	1200	110	12.3
69	1200	134	12.71
69	1200	102	12.79
69	1200	99	14.08
69	1200	81	12.09
69	1200	134	13.29
69	1200	99	11.81
69	1200	125	11.78
69	1200	115	11.61
72.25	1200	248	13.91
72.25	1200	292	14.14
72.25	1200	187	14.2
72.25	1200	230	12.45
72.25	1200	187	14.29
72.25	1200	146	13.43
72.25	1200	155	13.15
72.25	1200	239	12.72
72.25	1200	96	13.06
72.25	1200	110	12.56
72.25	1200	99	11.43
72.25	1200	110	12.49
72.25	1200	81	11.24
72.25	1200	110	13.52
74.5	1200	210	13.86
74.5	1200	122	12.9
74.5	1200	181	14.65
74.5	1200	169	14.23
74.5	1200	116	13.4
74.5	1200	128	13.67
74.5	1200	70	11.58
74.5	1200	146	13.42
74.5	1200	58	11.02
74.5	1200	87	12.33
74.5	1200	58	11.62
74.5	1200	87	11.98
