ID	Dive	x	y	X.long	Y.lat	Date	Year	Input_Month	Depth	Slope	Bottom_type	DistCoa	DistRck	DistSed	Current	Swell	Chla	SST	Ruggedness	Slope_slope	Sparisoma_cretense
00010001	0001	358857.6661	4264691.185	-28.61903035	38.51942697	25-Jul-97	1997	7	-22	15.31032001	0	59.3387422	0	12.78578814	9.653945088	13.75196477	0.588	18.29999924	0.002289741	24.79855021	0
00010002	0001	358807.9457	4264731.011	-28.61960852	38.51977786	25-Jul-97	1997	7	-13.7	19.08210035	0	23.01774302	0	50.70670145	3.810555415	10.39727263	0.588	18.29999924	0.0028254	29.67962033	0
00020001	0002	358806.2141	4264731.011	-28.61962837	38.51977758	27-Jul-97	1997	7	-15.15	18.1273792	0	24.61116791	0	50.40654197	3.381259832	10.31749988	0.588	18.29999924	0.003233461	33.51706287	0
00020002	0002	358786.4249	4264754.263	-28.61985999	38.51998391	27-Jul-97	1997	7	-5.15	22.53446648	0	10.77944391	0	64.84533657	0.962236712	9.523700142	0.588	18.29999924	0.005528768	14.37498455	0
00030001	0003	358862.366	4264679.806	-28.61897416	38.51932521	29-Jul-97	1997	7	-21.5	13.05636803	0	58.34670957	0	17.52982712	10.50230598	14.46843803	0.588	18.29999924	0.003220947	34.50363239	1
00030002	0003	358822.5402	4264715.674	-28.61943807	38.51964201	29-Jul-97	1997	7	-14.25	9.745949936	0	30.64139404	0	38.63617096	5.619555664	11.21000004	0.588	18.29999924	0.005372726	37.67877655	0
00030003	0003	358790.6301	4264743.379	-28.61980957	38.51988653	29-Jul-97	1997	7	-4	22.60966937	0	12.75046921	0	64.87054443	1.711932957	9.664999962	0.588	18.29999924	0.002795219	17.19838866	0
00040001	0004	357739.9127	4264803.004	-28.63186994	38.52025634	31-Jul-97	1997	7	-15.6	2.081939135	1	39.97313472	10.38800267	0	0.103547924	19.33566628	0.588	18.29999924	0.000335724	11.04623679	0
00060001	0006	357679.9571	4264754.588	-28.63254758	38.5198106	04-Dec-97	1997	12	-15.95	3.878222442	1	29.69557095	17.05430279	0	0.68301529	20.95375045	0.588	18.29999924	0.004603153	33.34587972	0
00070001	0007	361457.7614	4263552.677	-28.58899012	38.50957909	11-Dec-97	1997	12	-25.55	19.70522993	0	2865.230158	0	170.5511058	34.41543841	47.29999924	0.621999979	18.70000076	0.003932317	27.16401655	9
00070002	0007	361440.6878	4263492.115	-28.58917387	38.50903085	11-Dec-97	1997	12	-12.45	12.02061303	0	2875.984782	0	206.2057215	34.32401068	47.41384536	0.621999979	18.70000076	0.007201098	24.87526337	10
00080001	0008	357742.1704	4264810.53	-28.63184558	38.5203245	23-Jan-98	1998	1	-15.6	2.476854005	1	41.541259	12.78477058	0	0.087135485	19.64300003	0.588	18.29999924	0.000392914	12.4430522	0
00080002	0008	357763.4935	4264808.523	-28.63160067	38.52030983	23-Jan-98	1998	1	-13.25	4.525791179	0	34.28860404	0	9.714377663	0.003179165	18.77151472	0.588	18.29999924	0.002832644	33.30256488	1
00080003	0008	357763.9952	4264770.643	-28.63158721	38.51996867	23-Jan-98	1998	1	-3.75	15.81180942	0	11.69503379	0	27.18456554	0.019503002	17.80722164	0.588	18.29999924	0.007189804	29.29460168	0
00110001	0011	358827.4875	4264619.202	-28.61936186	38.51877373	02-Aug-97	1997	8	-22.75	26.09109831	0	29.04304051	0	32.19674468	8.869104317	14.23166666	0.588	18.29999924	0.017711308	48.04103351	0
00110002	0011	358780.2408	4264622.17	-28.61990422	38.51879297	02-Aug-97	1997	8	-11	26.63156537	0	5.083489736	0	67.90569284	3.767752777	12.44499979	0.588	18.29999924	0.121726945	43.46372383	3
00120001	0012	357748.9436	4264780.928	-28.63176189	38.52005892	05-Aug-97	1997	8	-14.6	5.7797377	0	27.70936324	0	10.80875986	0.060162556	18.62479115	0.588	18.29999924	0.002087661	24.43560028	1
00120002	0012	357793.8476	4264814.544	-28.63125383	38.52036891	05-Aug-97	1997	8	-3.25	14.79911765	0	8.022855238	0	35.74058203	0	17.66242391	0.588	18.29999924	0.010910076	40.68424797	0
00130001	0013	358816.6035	4264727.795	-28.61950859	38.51975026	29-Jan-98	1998	1	-16.45	11.89080954	0	30.13360081	0	42.64305534	4.858848286	10.83000018	0.588	18.29999924	0.003883743	36.36168461	5
00140001	0014	363714.2571	4266988.091	-28.56378834	38.54087606	06-Aug-97	1997	8	-23	29.23935877	0	1470.464622	0	91.95409601	62.70577876	34.59999847	0.727999985	18.20000076	0.034369421	45.57091488	0
