Station	Year	Month	Day	Date	CumDate	DayNumber	Latitude	Longitude	Zone	Easting	Northing	Depth	Temperature	Salinity	BottomType	SweptArea	RA	AC	SB
1	1998	12	1	1998-12-01	335	335	-38.3150063	-57.7533484	21H	434141.5055	5758964.996	26	16.6095	33.7631	2	0.01032	12	1	1
2	1998	12	1	1998-12-01	335	335	-38.2650053	-57.5533444	21H	451593.0093	5764636.663	33	16.5351	33.7541	2	0.00945	9	0	1
3	1998	12	2	1998-12-02	336	336	-36.0916685	-55.9566858	21H	593924.0876	6005380.312	14.5	18.6599	29.0138	3	0.00889	1	0	0
4	1998	12	2	1998-12-02	336	336	-36.1566698	-56.1700034	21H	574658.1799	5998355.292	21.3	16.8656	29.2322	3	0.00951	7	1	2
5	1998	12	2	1998-12-02	336	336	-36.3150063	-56.2550051	21H	566877.1425	5980854.322	18.5	15.3466	29.8015	4	0.00841	23	1	4
6	1998	12	2	1998-12-02	336	336	-36.2850057	-56.5583445	21H	539661.7597	5984349.029	15	16.4786	27.6564	2	0.00998	18	1	79
7	1998	12	2	1998-12-02	336	336	-36.5816783	-56.2566718	21H	566499.5148	5951274.69	19	15.511	31.4799	4	0.00878	6	0	10
8	1998	12	2	1998-12-02	336	336	-36.7600152	-56.5066768	21H	544031.676	5931635.939	15	18.2016	31.4975	3	0.00856	1	5	0
9	1998	12	2	1998-12-02	336	336	-37.1366694	-56.4900098	21H	545295.7418	5889844.569	24	17.9424	33.0845	4	0.00948	2	2	1
10	1998	12	3	1998-12-03	337	337	-37.266672	-56.7450149	21H	522608.1144	5875513.709	20	19.0083	33.5628	3	0.01143	3	2	20
11	1998	12	3	1998-12-03	337	337	-37.4400088	-56.9716861	21H	502504.6686	5856313.83	10	19.4554	33.7347	4	0.01048	2	0	1
12	1998	12	3	1998-12-03	337	337	-37.650013	-57.0483343	21H	495736.2891	5833014.509	26	17.8322	33.7664	3	0.00948	3	3	3
13	1998	12	3	1998-12-03	337	337	-37.9533524	-57.1750035	21H	484625.4269	5799346.167	23	16.9662	33.7572	3	0.00973	2	2	2
14	1998	12	13	1998-12-13	347	347	-34.5033434	-53.0733348	22H	309653.7291	6180080.645	58	12.8573	32.8919	2	0.01184	0	0	0
15	1998	12	13	1998-12-13	347	347	-34.3750075	-53.1450029	22H	302771.5073	6194177.633	31	13.317	32.7682	1	0.01162	4	1	1
16	1998	12	13	1998-12-13	347	347	-34.1450029	-53.1700034	22H	299928.1984	6219639.017	26	16.0064	31.9946	1	0.01019	0	2	1
17	1998	12	14	1998-12-14	348	348	-33.8650173	-53.3150063	22H	285854.3682	6250398.948	15	20.2265	30.7106	2	0.00974	0	1	21
18	1998	12	14	1998-12-14	348	348	-34.1083355	-53.5516777	22H	264628.5573	6222891.701	18.5	18.4259	30.7882	2	0.01353	5	1	141
19	1998	12	14	1998-12-14	348	348	-34.4583425	-53.7100142	22H	251054.5565	6183689.406	27.5	16.5773	31.5934	1	0.0087	0	0	5
20	1998	12	14	1998-12-14	348	348	-34.516677	-53.5183437	22H	268827.0721	6177673.584	28.5	14.7232	32.3564	1	0.01086	0	1	1
21	1998	12	14	1998-12-14	348	348	-34.6600132	-53.6150123	22H	260363.3879	6161547.83	35.5	13.1184	33.0381	1	0.01325	0	0	1
22	1998	12	14	1998-12-14	348	348	-34.6650133	-54.0700014	21H	768493.9053	6160197.905	13	17.6392	30.9673	1	0.0104	0	11	11
23	1998	12	14	1998-12-14	348	348	-34.9100182	-53.9700194	22H	228642.2041	6132908.379	36	13.8882	32.6913	2	0.01203	1	0	2
24	1998	12	15	1998-12-15	349	349	-35.1816703	-54.0133336	21H	771976.2464	6102723.618	33.5	15.0493	31.9368	3	0.01102	6	8	2
25	1998	12	15	1998-12-15	349	349	-35.2633386	-54.2733388	21H	748044.0515	6094344.039	21	17.9158	30.2523	3	0.01178	3	1	0
26	1998	12	15	1998-12-15	349	349	-35.100002	-54.4783429	21H	729850.426	6112957.518	38.5	14.6681	32.19	1	0.01185	2	0	3
27	1998	12	15	1998-12-15	349	349	-34.9683527	-54.5983453	21H	719261.5204	6127831.864	28.5	14.1616	32.3873	1	0.01336	5	0	18
28	1998	12	15	1998-12-15	349	349	-35.0550011	-54.8433502	21H	696682.021	6118730.831	28.5	15.3531	31.9446	2	0.01211	4	3	22
29	1998	12	15	1998-12-15	349	349	-35.3450069	-55.0100002	21H	680837.411	6086878.729	24.5	16.7094	31.3206	3	0.01116	8	0	3
30	1998	12	15	1998-12-15	349	349	-35.5183437	-55.2516717	21H	658533.3206	6068066.664	22.5	18.7741	30.2177	3	0.01218	8	3	0
31	1998	12	15	1998-12-15	349	349	-35.5250105	-55.5650113	21H	630107.6755	6067785.91	19.5	19.6527	30.1307	3	0.01081	7	0	8
32	1998	12	16	1998-12-16	350	350	-35.0533344	-55.2700054	21H	657770.5959	6119674.081	22.5	15.8454	31.7983	1	0.01225	0	0	14
33	1998	12	16	1998-12-16	350	350	-35.1700034	-55.3033394	21H	654509.8551	6106785.989	17	17.5292	30.9912	2	0.01159	5	0	1
34	1998	12	16	1998-12-16	350	350	-35.1966706	-55.4933432	21H	637160.5083	6104106.969	17	17.5292	30.9912	2	0.01175	1	1	0
35	1998	12	16	1998-12-16	350	350	-35.2600052	-55.7633486	21H	612491.3054	6097421.845	8.5	20.1965	28.0707	3	0.01166	0	0	0
36	1998	12	16	1998-12-16	350	350	-35.3750075	-55.6433462	21H	623233.2809	6084524.016	16.5	19.8286	29.4214	3	0.01178	0	0	41
37	1998	12	16	1998-12-16	350	350	-35.3783409	-55.8033494	21H	608693.9768	6084341.829	16.5	19.8286	29.4214	3	0.01072	0	0	64
38	1998	12	17	1998-12-17	351	351	-35.5300106	-55.8016827	21H	608641.266	6067517.925	14.5	20.0673	28.2241	3	0.00919	0	1	0
39	1998	12	17	1998-12-17	351	351	-35.5133436	-56.0516677	21H	585994.2577	6069613.24	11.5	20.4413	24.9767	3	0.00929	0	0	10
40	1998	12	17	1998-12-17	351	351	-35.4733428	-56.3066728	21H	562901.2665	6074242.098	11.5	20.9187	19.607	2	0.00955	0	0	4
41	1998	12	17	1998-12-17	351	351	-35.233338	-56.16667	21H	575827.1439	6100762.003	10.5	20.2133	25.5241	2	0.01132	0	0	0
42	1998	12	17	1998-12-17	351	351	-35.0600012	-56.1233358	21H	579939.6893	6119951.677	10.5	20.1042	25.5545	1	0.01215	0	0	1
43	1998	12	17	1998-12-17	351	351	-34.9983533	-55.8133496	21H	608288.6528	6126496.323	12.5	19.4985	27.0444	1	0.01282	0	0	13
44	1998	12	17	1998-12-17	351	351	-35.0250005	-55.6616799	21H	622090.5882	6123366.008	14.5	19.1103	27.9483	1	0.00844	0	0	10
45	1998	12	17	1998-12-17	351	351	-35.9083515	-55.5416775	21H	631591.522	6025234.327	14.5	18.6971	29.0799	3	0.01101	0	0	25
46	1998	12	17	1998-12-17	351	351	-34.8916845	-55.6883471	21H	619851.6546	6138183.783	12.5	19.6698	27.6499	1	0.01182	0	0	4
47	1998	12	18	1998-12-18	352	352	-35.0866684	-56.7283479	21H	524762.5697	6117311.928	7	21.4905	0.1769	1	0.00981	0	0	0
48	1998	12	18	1998-12-18	352	352	-35.2483383	-56.8600172	21H	512734.9537	6099407.619	7.5	21.7409	0.0689	1	0.00931	0	0	0
49	1998	12	18	1998-12-18	352	352	-35.4850097	-56.8316833	21H	515268.006	6073156.028	3	20.9524	9.1597	1	0.01035	0	0	0
50	1998	12	18	1998-12-18	352	352	-35.6716801	-56.9133516	21H	507841.6565	6052462.568	10.5	21.0469	13.8454	2	0.01179	0	0	0
51	1998	12	18	1998-12-18	352	352	-35.8233498	-57.0316673	21H	497139.5499	6035643.885	10.5	21.1414	10.1969	2	0.01078	0	0	0
52	1998	12	18	1998-12-18	352	352	-35.7650153	-56.8366834	21H	514762.8862	6042101.976	11.5	21.0307	13.3198	2	0.01035	0	0	0
53	1998	12	18	1998-12-18	352	352	-35.7150143	-56.6216791	21H	534219.4982	6047593.925	13	20.6517	19.1637	3	0.01061	0	0	1
54	1998	12	18	1998-12-18	352	352	-35.8600172	-56.6033454	21H	535812.6984	6031504.884	16.5	20.3456	20.704	3	0.00971	0	0	19
55	1998	12	18	1998-12-18	352	352	-35.7450149	-56.3600072	21H	557866.5258	6044143.718	13.5	20.5708	22.918	3	0.0103	0	0	8
56	1998	12	19	1998-12-19	353	353	-35.7183477	-56.2483383	21H	567986.1778	6047029.812	13.5	20.5348	25.095	3	0.01093	0	0	22
57	1998	12	19	1998-12-19	353	353	-35.8250165	-56.250005	21H	567744.8922	6035199.963	15.5	20.4417	22.7058	3	0.01018	0	0	3
58	1999	11	9	1999-11-09	678	313	-36.1950039	-55.0650013	21H	673976.5687	5992687.167	20.5	14.164	32.5325	4	0.01192	0	0	0
59	1999	11	9	1999-11-09	678	313	-36.0150003	-55.0700014	21H	673923.4759	6012664.998	20.5	14.164	32.5325	4	0.01083	0	0	0
60	1999	11	9	1999-11-09	678	313	-35.7033474	-54.9983533	21H	681088.7268	6047107.397	20.5	14.164	32.5325	3	0.01124	1	1	0
61	1999	11	9	1999-11-09	678	313	-35.4100082	-54.7783489	21H	701729.6564	6079220.224	27	13.7996	32.3346	3	0.01101	1	0	1
62	1999	11	9	1999-11-09	678	313	-35.2133376	-54.9400188	21H	687501.1534	6101354.1	21	15.0861	31.9996	2	0.01177	0	1	0
63	1999	11	9	1999-11-09	678	313	-35.0400008	-54.8233498	21H	698542.6328	6120355.09	22	14.534	32.2697	2	0.01101	0	0	37
64	1999	11	10	1999-11-10	679	314	-33.8700174	-53.3216731	22H	285250.0684	6249830.47	17.5	16.3373	32.6298	2	0.01004	0	3	190
65	1999	11	10	1999-11-10	679	314	-34.1600032	-53.1683367	22H	300117.2571	6217978.596	27.5	15.6727	32.8949	1	0.01069	4	0	7
66	1999	11	10	1999-11-10	679	314	-34.3916745	-53.1566698	22H	301737.8901	6192306.284	39.5	15.0454	32.6853	2	0.01073	0	0	0
67	1999	11	10	1999-11-10	679	314	-34.4883431	-53.0800016	22H	309007.3529	6181731.806	58	13.9257	32.8738	2	0.00996	3	0	1
68	1999	11	10	1999-11-10	679	314	-34.1266692	-53.5533444	22H	264525.6451	6220854.259	18.5	15.1886	32.6193	2	0.00964	0	1	37
