Year	Nsea	ItalySpermwhales	AdriaticIndividuals	AdriaticEvents	Sunspotcycle	Sunspots	AnnualTT	WinterTTAnom	SpringTTAnom	SummerTTAnom	AutumnTTAnom	AnnualTTAnom	WinterNAO	SpringNAO	SummerNAO	AutumnNAO	CRUwin	CRUspr	CRUsum	CRUaut
1555	NA	1	1	1	NA	NA	NA	-0.456	-0.163	-0.053	-0.249	-0.230	-0.04	-0.16	0.07	-0.41	NA	NA	NA	NA
1556	NA	0	0	0	NA	NA	NA	0.269	0.292	0.705	-0.132	0.284	0.18	0.14	-0.18	-0.13	NA	NA	NA	NA
1557	NA	0	0	0	NA	NA	NA	-2.314	-0.447	0.219	0.581	-0.490	-0.98	-0.19	-0.15	0.77	NA	NA	NA	NA
1558	NA	0	0	0	NA	NA	NA	-0.757	0.180	0.125	0.069	-0.095	0.06	0.14	-0.08	0.33	NA	NA	NA	NA
1559	NA	0	0	0	NA	NA	NA	-0.467	-0.164	0.483	-0.156	-0.075	-1.06	0.05	-0.22	-0.17	NA	NA	NA	NA
1560	NA	0	0	0	NA	NA	NA	-0.187	-0.182	-0.044	-0.379	-0.198	0.16	-0.21	0.06	-0.33	NA	NA	NA	NA
1561	NA	0	0	0	NA	NA	NA	-2.436	-0.495	-0.003	0.187	-0.686	-1.91	-0.18	-0.01	0.00	NA	NA	NA	NA
1562	NA	0	0	0	NA	NA	NA	0.344	-0.029	0.415	0.344	0.269	-0.37	0.13	0.12	0.23	NA	NA	NA	NA
1563	1	0	0	0	NA	NA	NA	-1.126	-0.550	-0.112	-0.718	-0.626	-0.57	-0.57	0.02	-1.14	NA	NA	NA	NA
1564	0	0	0	0	NA	NA	NA	-0.703	-0.293	0.099	0.032	-0.216	-0.10	0.00	0.05	-0.51	NA	NA	NA	NA
1565	0	0	0	0	NA	NA	NA	-3.193	-1.450	0.250	-0.749	-1.285	-1.14	-0.73	0.01	-0.75	NA	NA	NA	NA
1566	1	0	0	0	NA	NA	NA	-0.205	-0.117	0.343	-0.303	-0.070	0.87	-0.19	0.11	-0.28	NA	NA	NA	NA
1567	0	0	0	0	NA	NA	NA	-0.789	-0.485	0.392	-0.207	-0.272	0.07	-0.27	-0.25	-0.89	NA	NA	NA	NA
1568	0	0	0	0	NA	NA	NA	0.259	-0.451	0.235	-0.489	-0.111	0.25	-0.33	0.25	-0.56	NA	NA	NA	NA
1569	0	0	0	0	NA	NA	NA	-2.579	-0.795	-0.022	-0.729	-1.031	-1.38	-0.46	-0.06	-0.87	NA	NA	NA	NA
1570	0	0	0	0	NA	NA	NA	0.283	-0.299	0.074	-0.131	-0.018	0.08	-0.12	0.16	-0.18	NA	NA	NA	NA
1571	0	0	0	0	NA	NA	NA	-1.090	0.220	-0.131	-0.002	-0.250	-0.66	0.07	-0.02	0.12	NA	NA	NA	NA
1572	3	0	0	0	NA	NA	NA	-0.919	-0.251	0.226	-0.329	-0.318	-0.31	-0.14	0.12	-0.32	NA	NA	NA	NA
1573	0	0	0	0	NA	NA	NA	-3.253	-0.814	0.010	-0.354	-1.102	-2.36	-0.48	0.04	0.02	NA	NA	NA	NA
1574	0	0	0	0	NA	NA	NA	-0.415	-0.185	-0.176	0.442	-0.083	-0.26	-0.06	0.13	0.86	NA	NA	NA	NA
1575	2	0	0	0	NA	NA	NA	-0.444	-0.585	0.419	-0.275	-0.221	0.03	-0.33	0.00	-0.27	NA	NA	NA	NA
1576	0	0	0	0	NA	NA	NA	0.330	-0.292	-0.030	-0.582	-0.143	0.02	-0.12	0.41	-0.97	NA	NA	NA	NA
1577	6	0	0	0	NA	NA	NA	0.508	-0.291	-0.140	-0.101	-0.005	0.27	-0.21	0.13	-0.12	NA	NA	NA	NA
1578	0	0	0	0	NA	NA	NA	-0.502	-0.544	0.306	0.091	-0.162	-0.09	-0.32	-0.01	0.26	NA	NA	NA	NA
1579	0	0	0	0	NA	NA	NA	0.003	0.029	-0.305	-0.558	-0.207	-0.01	-0.03	0.27	-0.62	NA	NA	NA	NA
1580	0	0	0	0	NA	NA	NA	-0.007	-0.518	0.129	0.094	-0.075	0.04	-0.31	0.26	0.15	NA	NA	NA	NA
1581	0	0	0	0	NA	NA	NA	-0.874	-0.015	-0.020	-0.012	-0.230	-0.25	0.11	0.17	-0.02	NA	NA	NA	NA
1582	0	0	0	0	NA	NA	NA	-0.353	-0.371	0.064	-0.459	-0.279	-0.18	-0.23	0.13	-0.39	NA	NA	NA	NA
1583	0	0	0	0	NA	NA	NA	-0.446	0.099	0.292	0.213	0.040	-0.01	0.19	0.05	0.36	NA	NA	NA	NA
1584	0	7	7	1	NA	NA	NA	0.089	-0.378	0.110	0.002	-0.044	0.10	-0.05	0.21	-0.30	NA	NA	NA	NA
1585	0	0	0	0	NA	NA	NA	0.977	0.633	0.030	-0.301	0.335	0.75	0.58	0.24	-0.11	NA	NA	NA	NA
1586	0	0	0	0	NA	NA	NA	-1.824	-0.570	0.046	0.038	-0.577	-1.36	-0.17	0.10	-0.17	NA	NA	NA	NA
1587	0	0	0	0	NA	NA	NA	-1.566	-1.042	-0.527	-0.584	-0.929	-1.30	-0.86	-0.27	-0.26	NA	NA	NA	NA
1588	0	0	0	0	NA	NA	NA	-0.021	-0.453	-0.177	-0.463	-0.278	0.63	-0.39	0.19	-0.62	NA	NA	NA	NA
1589	0	0	0	0	NA	NA	NA	-1.263	-0.058	-0.142	0.458	-0.251	-0.32	0.05	0.29	0.70	NA	NA	NA	NA
1590	0	0	0	0	NA	NA	NA	-1.466	-0.718	0.382	0.565	-0.309	-0.99	-0.55	-0.14	0.73	NA	NA	NA	NA
1591	0	0	0	0	NA	NA	NA	-1.097	-0.096	0.253	0.160	-0.195	-1.16	0.25	0.13	0.08	NA	NA	NA	NA
1592	0	0	0	0	NA	NA	NA	0.074	-0.667	-0.221	-0.418	-0.308	-0.12	-0.44	-0.74	-0.48	NA	NA	NA	NA
1593	0	0	0	0	NA	NA	NA	-1.286	-0.690	-0.228	-0.299	-0.625	-1.47	-0.39	-0.17	-0.50	NA	NA	NA	NA
1594	0	0	0	0	NA	NA	NA	-0.463	-0.604	-0.360	-0.463	-0.472	0.50	0.21	0.31	-0.68	NA	NA	NA	NA
1595	0	0	0	0	NA	NA	NA	-3.376	-1.141	-0.301	-0.038	-1.214	-1.17	-0.62	-0.21	-0.31	NA	NA	NA	NA
1596	0	0	0	0	NA	NA	NA	0.121	0.435	-0.332	0.276	0.126	-0.64	0.51	0.35	-0.01	NA	NA	NA	NA
1597	0	0	0	0	NA	NA	NA	0.427	-1.283	-0.311	-1.464	-0.657	-0.39	-0.89	-0.03	-1.81	NA	NA	NA	NA
1598	1	0	0	0	NA	NA	NA	-1.216	-0.590	-0.302	-0.354	-0.615	-0.63	-0.38	-0.13	-0.96	NA	NA	NA	NA
1599	0	0	0	0	NA	NA	NA	-1.420	0.299	0.497	-0.016	-0.160	-0.83	0.16	0.18	-0.24	NA	NA	NA	NA
1600	0	0	0	0	NA	NA	NA	-2.408	-0.998	-0.334	-1.014	-1.188	-1.31	-0.56	0.09	-0.68	NA	NA	NA	NA
1601	1	2	2	2	NA	NA	NA	-2.094	-0.913	-0.898	-1.276	-1.295	-1.03	-0.52	0.04	-1.01	NA	NA	NA	NA
1602	0	0	0	0	NA	NA	NA	0.261	-0.055	-0.034	-0.188	-0.003	0.14	-0.01	0.04	-0.17	NA	NA	NA	NA
1603	1	0	0	0	NA	NA	NA	-1.216	-0.170	0.192	0.198	-0.249	-0.31	-0.26	-0.17	0.24	NA	NA	NA	NA
1604	2	0	0	0	NA	NA	NA	0.384	-0.284	-0.246	-0.496	-0.160	-0.52	-0.20	-0.33	-0.37	NA	NA	NA	NA
1605	0	0	0	0	NA	NA	NA	0.265	-0.111	-0.164	0.311	0.076	0.55	0.01	0.02	-0.06	NA	NA	NA	NA
1606	1	0	0	0	NA	NA	NA	-0.131	-0.132	-0.495	-0.548	-0.326	-0.88	-0.03	0.16	-0.46	NA	NA	NA	NA
1607	0	0	0	0	NA	NA	NA	1.525	-0.056	-0.325	-0.036	0.277	1.10	-0.01	0.00	0.12	NA	NA	NA	NA
1608	0	0	0	0	NA	NA	NA	-3.582	-0.675	-0.576	-0.290	-1.280	-2.78	-0.51	0.11	-0.28	NA	NA	NA	NA
1609	1	0	0	0	NA	NA	NA	1.410	-0.022	-0.347	-0.161	0.221	1.50	0.14	0.12	-0.35	NA	NA	NA	NA
1610	0	0	0	0	NA	NA	NA	-0.211	-0.629	0.070	0.536	-0.058	-0.06	-0.31	0.12	0.07	NA	NA	NA	NA
1611	0	8	1	1	NA	NA	NA	-0.290	0.187	0.340	-0.660	-0.105	0.01	0.06	-0.36	-0.74	NA	NA	NA	NA
1612	0	0	0	0	NA	NA	NA	-0.894	-0.384	0.033	0.186	-0.264	-0.57	-0.19	-0.18	-0.04	NA	NA	NA	NA
1613	0	0	0	0	NA	NA	NA	1.424	-0.154	0.132	-0.503	0.225	0.88	-0.02	0.27	-0.44	NA	NA	NA	NA
1614	2	0	0	0	NA	NA	NA	-1.034	-0.996	-0.191	-1.076	-0.824	-0.62	-0.47	0.13	-0.94	NA	NA	NA	NA
1615	0	0	0	0	NA	NA	NA	-0.862	-1.033	-0.050	0.324	-0.405	-0.24	-0.61	-0.51	0.24	NA	NA	NA	NA
1616	0	0	0	0	NA	NA	NA	-1.222	0.160	0.017	0.095	-0.237	-0.88	0.20	-0.46	-0.35	NA	NA	NA	NA
1617	4	0	0	0	NA	NA	NA	1.262	0.411	-0.335	-0.009	0.333	1.33	0.43	0.17	-0.29	NA	NA	NA	NA
1618	0	0	0	0	NA	NA	NA	-0.523	-0.519	-0.079	0.272	-0.212	-0.97	-0.38	0.34	0.23	NA	NA	NA	NA
1619	0	0	0	0	NA	NA	NA	0.190	-0.572	-0.129	-0.535	-0.261	0.30	-0.30	0.02	-0.75	NA	NA	NA	NA
1620	1	0	0	0	NA	NA	NA	-1.306	-0.233	-0.133	0.019	-0.413	-0.33	-0.09	0.05	0.06	NA	NA	NA	NA
1621	0	0	0	0	NA	NA	NA	-2.285	-0.009	-0.255	-0.362	-0.727	-0.89	0.03	0.25	-0.23	NA	NA	NA	NA
1622	0	0	0	0	NA	NA	NA	-1.733	-0.431	0.170	-0.168	-0.540	-0.70	-0.14	0.19	-0.19	NA	NA	NA	NA
1623	0	0	0	0	NA	NA	NA	-0.315	-0.527	0.220	-0.164	-0.196	-0.96	-0.31	-0.19	-0.27	NA	NA	NA	NA
1624	0	0	0	0	NA	NA	NA	-2.044	0.312	0.471	0.116	-0.286	-1.89	0.18	-0.17	0.20	NA	NA	NA	NA
1625	0	0	0	0	NA	NA	NA	0.897	-0.382	-0.218	-0.426	-0.032	0.11	-0.13	-0.01	-0.64	NA	NA	NA	NA
1626	1	0	0	0	NA	NA	NA	0.460	-0.576	0.129	0.176	0.048	-0.40	-0.43	0.15	0.11	NA	NA	NA	NA
1627	0	0	0	0	NA	NA	NA	-1.525	-1.206	-0.295	-0.214	-0.810	-0.80	-0.76	0.32	-0.29	NA	NA	NA	NA
1628	0	0	0	0	NA	NA	NA	0.389	-0.280	-0.161	-0.446	-0.124	0.21	-0.03	0.26	-0.57	NA	NA	NA	NA
1629	1	0	0	0	NA	NA	NA	0.573	-0.965	0.398	0.163	0.043	0.29	-0.67	-0.53	-0.39	NA	NA	NA	NA
1630	0	0	0	0	NA	NA	NA	0.569	-0.577	-0.210	-0.286	-0.126	0.32	-0.30	-0.31	-0.37	NA	NA	NA	NA
1631	0	0	0	0	NA	NA	NA	-0.599	-0.224	0.378	0.219	-0.056	-0.21	-0.13	-0.19	-0.04	NA	NA	NA	NA
1632	0	0	0	0	NA	NA	NA	-0.428	-0.632	-0.082	-0.735	-0.469	0.02	-0.37	0.10	-1.08	NA	NA	NA	NA
1633	0	0	0	0	NA	NA	NA	0.504	-0.577	-0.483	-0.285	-0.210	0.52	-0.31	-0.34	-0.45	NA	NA	NA	NA
1634	0	0	0	0	NA	NA	NA	-0.437	-0.275	0.017	-0.725	-0.354	-0.08	-0.12	-0.11	-0.69	NA	NA	NA	NA
1635	0	0	0	0	NA	NA	NA	-2.190	-0.996	-0.341	-0.090	-0.904	-1.47	-0.46	-0.12	-0.41	NA	NA	NA	NA
1636	0	0	0	0	NA	NA	NA	-0.182	0.566	0.157	-0.576	-0.008	-0.32	0.29	0.00	-0.48	NA	NA	NA	NA
1637	0	0	0	0	NA	NA	NA	-1.144	-0.008	0.497	-0.724	-0.344	-0.56	0.07	0.05	-0.60	NA	NA	NA	NA
1638	0	0	0	0	NA	NA	NA	-0.297	0.347	0.101	-0.672	-0.130	-0.07	0.29	0.07	-0.41	NA	NA	NA	NA
1639	0	0	0	0	NA	NA	NA	0.239	-0.353	-0.105	0.199	-0.005	-0.17	-0.15	0.30	0.36	NA	NA	NA	NA
1640	0	0	0	0	NA	NA	NA	-0.623	-1.103	0.272	-0.629	-0.520	-0.81	-0.59	0.26	-0.76	NA	NA	NA	NA
1641	1	0	0	0	NA	NA	NA	-0.975	-0.422	-0.562	-0.631	-0.647	-0.98	-0.09	0.10	-0.98	NA	NA	NA	NA
1642	0	0	0	0	NA	NA	NA	0.209	-1.427	-0.236	-0.221	-0.418	-0.58	-0.94	-0.09	-0.38	NA	NA	NA	NA
1643	0	0	0	0	NA	NA	NA	0.356	-1.541	0.215	-1.006	-0.493	-0.41	-0.91	0.01	-0.68	NA	NA	NA	NA
1644	0	0	0	0	NA	NA	NA	-0.730	-0.348	0.082	-0.264	-0.315	-0.68	-0.19	0.04	-0.02	NA	NA	NA	NA
1645	0	0	0	0	NA	NA	NA	-0.742	0.168	0.261	-0.359	-0.168	-0.27	0.15	-0.08	-0.39	NA	NA	NA	NA
1646	2	0	0	0	NA	NA	NA	-1.935	0.143	0.394	-0.107	-0.376	-1.60	0.11	-0.24	-0.24	NA	NA	NA	NA
1647	0	0	0	0	NA	NA	NA	-0.042	0.153	0.075	0.439	0.157	-0.40	0.13	0.26	0.51	NA	NA	NA	NA
1648	0	0	0	0	NA	NA	NA	0.247	0.091	0.211	-0.425	0.031	0.17	0.18	0.32	-0.24	NA	NA	NA	NA
1649	0	0	0	0	NA	NA	NA	-1.395	-0.685	0.212	-0.500	-0.591	-0.70	-0.41	-0.05	-0.86	NA	NA	NA	NA
1650	0	0	0	0	NA	NA	NA	0.548	-0.544	0.228	0.011	0.061	0.29	-0.22	0.19	0.02	NA	NA	NA	NA
1651	0	0	0	0	NA	NA	NA	-0.521	-0.547	0.376	-0.327	-0.254	-0.37	-0.20	0.02	-0.08	NA	NA	NA	NA
1652	1	0	0	0	NA	NA	NA	-0.241	-1.010	0.130	-0.253	-0.343	-0.17	-0.58	-0.06	0.07	NA	NA	NA	NA
1653	0	0	0	0	NA	NA	NA	-0.586	-0.107	-0.171	-0.255	-0.279	-0.01	-0.05	-0.19	-0.23	NA	NA	NA	NA
1654	0	0	0	0	NA	NA	NA	0.393	-0.310	0.068	-0.162	-0.002	0.47	-0.16	0.19	-0.40	NA	NA	NA	NA
1655	0	0	0	0	NA	NA	NA	-1.172	-0.881	0.329	0.113	-0.402	-0.62	-0.44	0.12	-0.08	NA	NA	NA	NA
1656	0	0	0	0	NA	NA	NA	-0.862	-0.248	0.162	-0.441	-0.347	-0.34	-0.04	-0.22	-0.51	NA	NA	NA	NA
1657	0	0	0	0	NA	NA	NA	0.350	-0.220	0.058	-0.310	-0.030	0.06	-0.12	0.03	-0.20	NA	NA	NA	NA
1658	0	0	0	0	NA	NA	NA	-2.749	-0.893	0.000	0.016	-0.906	-1.41	-0.61	0.16	-0.01	NA	NA	NA	NA
1659	0	0	0	0	NA	NA	NA	0.135	-0.562	-0.117	-0.306	-0.343	-0.12	-0.49	0.09	-0.28	NA	NA	NA	NA
1660	0	0	0	0	NA	NA	NA	-1.926	-0.003	-0.041	-0.364	-0.472	-1.78	0.04	0.16	-0.28	NA	NA	NA	NA
1661	0	0	0	0	NA	NA	NA	0.646	-0.121	0.220	0.120	0.255	1.03	0.12	0.35	0.33	NA	NA	NA	NA
1662	0	0	0	0	NA	NA	NA	0.574	-0.217	-0.060	-0.211	-0.079	1.31	0.16	0.07	-0.09	NA	NA	NA	NA
1663	0	0	0	0	NA	NA	NA	-1.090	-0.368	0.026	-0.088	-0.284	-1.87	-0.55	0.15	0.05	NA	NA	NA	NA
1664	0	0	0	0	NA	NA	NA	0.012	-0.462	0.153	-0.310	-0.157	0.12	-0.19	0.03	-0.40	NA	NA	NA	NA
1665	0	0	0	0	NA	NA	NA	-1.339	-0.587	-0.092	-0.322	-0.640	-1.68	-0.89	0.18	-0.24	NA	NA	NA	NA
1666	0	0	0	0	NA	NA	NA	-0.681	-0.458	0.196	-0.237	-0.255	-0.48	-0.37	-0.11	-0.10	NA	NA	NA	NA
1667	0	0	0	0	NA	NA	NA	-0.594	-0.645	0.158	0.033	-0.326	-0.83	-0.85	0.00	-0.25	NA	NA	NA	NA
1668	0	0	0	0	NA	NA	NA	0.285	-0.830	0.062	0.291	0.080	0.46	-0.49	0.15	0.15	NA	NA	NA	NA
1669	0	0	0	0	NA	NA	NA	-0.604	-0.183	0.219	0.158	-0.234	-0.01	-0.57	0.01	0.20	NA	NA	NA	NA
1670	0	0	0	0	NA	NA	NA	-1.420	-0.093	0.088	-0.138	-0.324	-1.41	-0.24	-0.06	-0.10	NA	NA	NA	NA
1671	0	0	0	0	NA	NA	NA	0.461	-0.135	0.017	-0.131	0.046	0.61	-0.28	-0.09	-0.21	NA	NA	NA	NA
1672	0	0	0	0	NA	NA	NA	-0.910	-0.281	-0.095	-0.081	-0.272	-0.94	-0.29	0.02	0.15	NA	NA	NA	NA
1673	0	0	0	0	NA	NA	NA	0.691	-0.185	-0.061	-0.304	-0.068	0.55	-0.19	0.15	-0.30	NA	NA	NA	NA
1674	0	0	0	0	NA	NA	NA	-1.109	-0.163	-0.518	-0.418	-0.494	-1.11	-0.57	0.39	-0.16	NA	NA	NA	NA
1675	0	0	0	0	NA	NA	NA	0.360	-0.924	-0.785	-0.855	-0.486	0.36	-0.85	0.22	-1.01	NA	NA	NA	NA
1676	0	0	0	0	NA	NA	NA	0.467	-0.526	0.359	-0.974	-0.364	0.76	-0.07	-0.02	-0.72	NA	NA	NA	NA
1677	0	0	0	0	NA	NA	NA	-0.535	-0.468	0.123	-0.379	-0.279	-0.33	-0.67	-0.02	-0.63	NA	NA	NA	NA
1678	0	0	0	0	NA	NA	NA	0.079	-0.284	0.597	0.425	0.259	0.01	-0.34	0.47	0.16	NA	NA	NA	NA
1679	0	0	0	0	NA	NA	NA	-1.494	-0.075	0.597	-0.643	-0.436	-0.87	-0.39	0.22	-0.24	NA	NA	NA	NA
1680	0	0	0	0	NA	NA	NA	-0.333	0.330	0.304	0.471	0.077	0.51	1.12	0.43	0.79	NA	NA	NA	NA
1681	0	0	0	0	NA	NA	NA	-2.097	-0.187	0.002	0.227	-0.381	-0.87	-0.25	0.19	0.46	NA	NA	NA	NA
1682	0	0	0	0	NA	NA	NA	-0.012	-0.185	0.317	-0.086	0.115	0.34	-0.15	0.33	-0.26	NA	NA	NA	NA
1683	0	0	0	0	NA	NA	NA	-0.513	-0.481	0.038	-0.557	-0.497	0.62	0.05	-0.02	-0.68	NA	NA	NA	NA
1684	0	0	0	0	NA	NA	NA	-3.088	-0.322	0.284	-0.256	-0.813	-2.03	-0.48	0.25	-0.17	NA	NA	NA	NA
1685	0	0	0	0	NA	NA	NA	-1.947	-0.229	-0.105	-0.241	-0.488	-0.55	-0.19	-0.01	-0.20	NA	NA	NA	NA
1686	0	0	0	0	NA	NA	NA	1.416	0.254	-0.092	-0.258	0.225	1.02	0.12	0.10	0.00	NA	NA	NA	NA
1687	0	0	0	0	NA	NA	NA	-0.820	-0.652	-0.123	0.057	-0.457	0.25	-0.27	0.34	0.57	NA	NA	NA	NA
1688	0	0	0	0	NA	NA	NA	-1.840	-0.881	-0.206	-0.460	-0.836	-0.81	-0.71	-0.22	-0.57	NA	NA	NA	NA
1689	2	0	0	0	NA	NA	NA	-0.933	-0.154	-0.098	-0.369	-0.281	0.24	-0.26	0.39	-0.42	NA	NA	NA	NA
1690	1	0	0	0	NA	NA	NA	0.552	-0.454	-0.047	-0.309	-0.165	0.26	-0.62	0.15	-0.21	NA	NA	NA	NA
1691	0	0	0	0	NA	NA	NA	-1.681	-1.094	-0.018	-0.862	-0.887	-1.32	-0.44	-0.22	-0.93	NA	NA	NA	NA
1692	1	0	0	0	NA	NA	NA	-1.680	-0.534	-0.002	-0.383	-0.691	-1.28	-0.55	0.24	-0.64	NA	NA	NA	NA
1693	0	0	0	0	NA	NA	NA	0.357	-0.327	0.035	0.026	0.034	0.72	-0.22	0.17	-0.34	NA	NA	NA	NA
1694	0	0	0	0	NA	NA	NA	-1.328	-0.545	-0.291	-0.791	-0.767	-0.83	0.16	-0.01	-0.39	NA	NA	NA	NA
1695	0	0	0	0	NA	NA	NA	-2.431	-0.966	-0.919	-0.531	-1.161	-2.05	-1.27	-0.91	-0.57	NA	NA	NA	NA
1696	0	0	0	0	NA	NA	NA	0.788	-1.056	-0.101	-0.023	-0.145	0.61	-0.58	-0.03	-0.35	NA	NA	NA	NA
1697	0	0	0	0	NA	NA	NA	-2.552	-0.277	-0.145	-0.562	-0.919	-1.53	-0.68	0.17	-0.65	NA	NA	NA	NA
1698	0	0	0	0	NA	NA	NA	-1.779	-0.772	-0.344	-0.590	-0.751	-0.97	-0.49	-0.09	-0.16	NA	NA	NA	NA
1699	0	0	0	0	NA	NA	NA	0.173	-0.662	-0.060	-0.103	-0.190	-0.88	-0.49	0.13	-0.36	NA	NA	NA	NA
1700	1	0	0	0	NA	5	NA	-0.529	-0.984	-0.490	-0.509	-0.582	0.63	-0.40	-0.27	-0.29	NA	NA	NA	NA
